epoch,slot,active_count,active_eth,entry_count,entry_eth,exit_count,exit_eth,beacon_deposit_count,eth1_block_hash,eth1_block_number,eth1_block_timestamp,el_deposit_count_at_eth1_block,el_total_deposited_eth_at_eth1_block,el_backlog_events,el_backlog_eth
419902,13436883,975331,35853753.000000000,48,1536.000000000,0,0.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783,2045305,61024328.232299998,0,0.000000000
419902,13436884,975331,35853753.000000000,48,1536.000000000,0,0.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783,2045305,61024328.232299998,0,0.000000000
419902,13436885,975331,35853753.000000000,48,1536.000000000,0,0.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783,2045305,61024328.232299998,0,0.000000000
419902,13436886,975331,35853753.000000000,48,1536.000000000,0,0.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783,2045305,61024328.232299998,0,0.000000000
419902,13436887,975331,35853753.000000000,48,1536.000000000,0,0.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783,2045305,61024328.232299998,0,0.000000000
419902,13436888,975331,35853753.000000000,48,1536.000000000,0,0.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783,2045305,61024328.232299998,0,0.000000000
419902,13436889,975331,35853753.000000000,48,1536.000000000,0,0.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783,2045305,61024328.232299998,0,0.000000000
419902,13436890,975331,35853753.000000000,48,1536.000000000,0,0.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783,2045305,61024328.232299998,0,0.000000000
419902,13436891,975331,35853753.000000000,48,1536.000000000,0,0.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783,2045305,61024328.232299998,0,0.000000000
419902,13436892,975331,35853753.000000000,48,1536.000000000,0,0.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783,2045305,61024328.232299998,0,0.000000000
