epoch,slot,active_count,active_eth,entry_queue_count,entry_queue_eth,exit_queue_count,exit_queue_eth,el_backlog_events,el_backlog_eth,entry_total_estimated,boundary_tx_hash
392698,12566349,975061,33040891.000000000,48,1536.000000000,82378,2672095.000000000,0,0.000000000,48,
392698,12566350,975061,33040891.000000000,48,1536.000000000,82378,2672095.000000000,0,0.000000000,48,
392698,12566351,975060,33040859.000000000,48,1536.000000000,82379,2672127.000000000,0,0.000000000,48,
392698,12566352,975060,33040859.000000000,48,1536.000000000,82379,2672127.000000000,0,0.000000000,48,
392698,12566353,975060,33040859.000000000,48,1536.000000000,82379,2672127.000000000,0,0.000000000,48,
392698,12566354,975060,33040859.000000000,48,1536.000000000,82379,2672127.000000000,0,0.000000000,48,
392698,12566355,975060,33040859.000000000,48,1536.000000000,82379,2672127.000000000,0,0.000000000,48,
392698,12566356,975060,33040859.000000000,48,1536.000000000,82379,2672127.000000000,0,0.000000000,48,
392698,12566357,975060,33040859.000000000,48,1536.000000000,82379,2672127.000000000,0,0.000000000,48,
392698,12566358,975059,33040827.000000000,48,1536.000000000,82380,2672159.000000000,0,0.000000000,48,
392698,12566359,975059,33040827.000000000,48,1536.000000000,82380,2672159.000000000,0,0.000000000,48,
392698,12566360,975059,33040827.000000000,48,1536.000000000,82380,2672159.000000000,0,0.000000000,48,
392698,12566361,975059,33040827.000000000,48,1536.000000000,82380,2672159.000000000,0,0.000000000,48,
392698,12566362,975058,33040795.000000000,48,1536.000000000,82381,2672191.000000000,0,0.000000000,48,
392698,12566363,975058,33040795.000000000,48,1536.000000000,82381,2672191.000000000,0,0.000000000,48,
392698,12566364,975058,33040795.000000000,48,1536.000000000,82381,2672191.000000000,0,0.000000000,48,
392698,12566365,975058,33040795.000000000,48,1536.000000000,82381,2672191.000000000,0,0.000000000,48,
392698,12566366,975058,33040795.000000000,48,1536.000000000,82381,2672191.000000000,0,0.000000000,48,
392698,12566367,975058,33040795.000000000,48,1536.000000000,82381,2672191.000000000,0,0.000000000,48,
392699,12566368,975066,33041051.000000000,48,1536.000000000,82373,2671935.000000000,0,0.000000000,48,
392699,12566369,975066,33041051.000000000,48,1536.000000000,82373,2671935.000000000,0,0.000000000,48,
