epoch,slot,active_count,active_eth,entry_queue_count,entry_queue_eth,exit_queue_count,exit_queue_eth,Churn_limit_validators,Churn_limit_eth_est,activations,newly_queued_entries,newly_queued_exits,newly_queued_cum_exits
386385,12364344,1062874,34988450,48,1536,22447,728432,8,256.0,0.0,0.0,32.0,32.0
386385,12364345,1062873,34988418,48,1536,22448,728464,8,256.0,0.0,0.0,32.0,32.0
386385,12364346,1062873,34988418,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386385,12364347,1062873,34988418,48,1536,22448,728464,8,256.0,0.0,0.0,0.0,0.0
386385,12364348,1062871,34988354,48,1536,22450,728528,8,256.0,0.0,0.0,64.0,64.0
386385,12364349,1062871,34988354,48,1536,22450,728528,8,256.0,0.0,0.0,0.0,0.0
386385,12364350,1062870,34988322,48,1536,22451,728560,8,256.0,0.0,0.0,32.0,32.0
386385,12364351,1062869,34988290,48,1536,22452,728592,8,256.0,0.0,0.0,32.0,32.0
386386,12364352,1062877,34988546,48,1536,22444,728336,8,256.0,256.0,256.0,0.0,0.0
386386,12364353,1062876,34988514,48,1536,22445,728368,8,256.0,0.0,0.0,32.0,32.0
386386,12364354,1062875,34988482,48,1536,22446,728400,8,256.0,0.0,0.0,32.0,32.0
386386,12364355,1062875,34988482,48,1536,22446,728400,8,256.0,0.0,0.0,0.0,0.0
386386,12364356,1062874,34988450,48,1536,22447,728432,8,256.0,0.0,0.0,32.0,32.0
386386,12364357,1062873,34988418,48,1536,22448,728464,8,256.0,0.0,0.0,32.0,32.0
386386,12364358,1062872,34988386,48,1536,22449,728496,8,256.0,0.0,0.0,32.0,32.0
386386,12364359,1062872,34988386,48,1536,22449,728496,8,256.0,0.0,0.0,0.0,0.0
386386,12364360,1062871,34988354,48,1536,22450,728528,8,256.0,0.0,0.0,32.0,32.0
386386,12364361,1062870,34988322,48,1536,22451,728560,8,256.0,0.0,0.0,32.0,32.0
386386,12364362,1062869,34988290,48,1536,22452,728592,8,256.0,0.0,0.0,32.0,32.0
386386,12364363,1062869,34988290,48,1536,22452,728592,8,256.0,0.0,0.0,0.0,0.0
386386,12364364,1062868,34988258,48,1536,22453,728624,8,256.0,0.0,0.0,32.0,32.0
386386,12364365,1062864,34988130,48,1536,22457,728752,8,256.0,0.0,0.0,128.0,128.0
386386,12364366,1062863,34988098,48,1536,22458,728784,8,256.0,0.0,0.0,32.0,32.0
386386,12364367,1062861,34988034,48,1536,22460,728848,8,256.0,0.0,0.0,64.0,64.0
386386,12364368,1062861,34988034,48,1536,22460,728848,8,256.0,0.0,0.0,0.0,0.0
386386,12364369,1062860,34988002,48,1536,22461,728880,8,256.0,0.0,0.0,32.0,32.0
386386,12364370,1062860,34988002,48,1536,22461,728880,8,256.0,0.0,0.0,0.0,0.0
386386,12364371,1062859,34987970,48,1536,22462,728912,8,256.0,0.0,0.0,32.0,32.0
386386,12364372,1062858,34987938,48,1536,22463,728944,8,256.0,0.0,0.0,32.0,32.0
386386,12364373,1062858,34987938,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386386,12364374,1062857,34987906,48,1536,22464,728976,8,256.0,0.0,0.0,32.0,32.0
386386,12364375,1062856,34987874,48,1536,22465,729008,8,256.0,0.0,0.0,32.0,32.0
386386,12364376,1062856,34987874,48,1536,22465,729008,8,256.0,0.0,0.0,0.0,0.0
386386,12364377,1062855,34987842,48,1536,22466,729040,8,256.0,0.0,0.0,32.0,32.0
386386,12364378,1062855,34987842,48,1536,22466,729040,8,256.0,0.0,0.0,0.0,0.0
386386,12364379,1062854,34987810,48,1536,22467,729072,8,256.0,0.0,0.0,32.0,32.0
386386,12364380,1062853,34987778,48,1536,22468,729104,8,256.0,0.0,0.0,32.0,32.0
386386,12364381,1062853,34987778,48,1536,22468,729104,8,256.0,0.0,0.0,0.0,0.0
386386,12364382,1062852,34987746,48,1536,22469,729136,8,256.0,0.0,0.0,32.0,32.0
386386,12364383,1062851,34987714,48,1536,22470,729168,8,256.0,0.0,0.0,32.0,32.0
386387,12364384,1062859,34987971,48,1536,22462,728912,8,256.0,257.0,257.0,0.0,0.0
386387,12364385,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,32.0,32.0
386387,12364386,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364387,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364388,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364389,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364390,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364391,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364392,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364393,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364394,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364395,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364396,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364397,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364398,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364399,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364400,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364401,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364402,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364403,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364404,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364405,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364406,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
386387,12364407,1062858,34987939,48,1536,22463,728944,8,256.0,0.0,0.0,0.0,0.0
