epoch,slot,active_count,active_eth,entry_count,entry_eth,exit_count,exit_eth,beacon_deposit_count,eth1_block_hash,eth1_block_number,eth1_block_timestamp
419472,13423135,973116,35758758.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423136,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423137,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423138,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423139,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423140,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423141,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423142,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423143,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423144,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423145,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423146,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423147,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423148,973116,35758761.000000000,1,1888.000000000,1,32.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423149,973111,35758601.000000000,1,1888.000000000,6,192.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423150,973111,35758601.000000000,1,1888.000000000,6,192.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423151,973111,35758601.000000000,1,1888.000000000,6,192.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423152,973111,35758601.000000000,1,1888.000000000,6,192.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423153,973111,35758601.000000000,1,1888.000000000,6,192.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423154,973111,35758601.000000000,1,1888.000000000,6,192.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423155,973111,35758601.000000000,1,1888.000000000,6,192.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423156,973111,35758601.000000000,1,1888.000000000,6,192.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
419473,13423157,973111,35758601.000000000,1,1888.000000000,6,192.000000000,2045305,0x0958d83550263ff0d9f9a0bc5ea3cd2a136e0933b6f43cbb17f36e4da8d809b1,22432721,1746632783
