epoch,slot,active_count,active_eth,entry_queue_count,entry_queue_eth,exit_queue_count,exit_queue_eth,el_backlog_events,el_backlog_eth,entry_total_estimated
403666,12917341,949633,33182872.000000000,2,2144.000000000,50725,2521734.000000000,344508,11024285.197335375,344510
403666,12917342,949633,33182872.000000000,2,2144.000000000,50725,2521734.000000000,344508,11024285.197335375,344510
403666,12917343,949633,33182872.000000000,2,2144.000000000,50725,2521734.000000000,344508,11024285.197335375,344510
403667,12917344,949634,33184184.000000000,1,832.000000000,50709,2521224.000000000,344573,11026340.776402868,344574
403667,12917345,949634,33184184.000000000,1,832.000000000,50709,2521224.000000000,344573,11026340.776402868,344574
