epoch,slot,active_count,active_eth,entry_queue_count,entry_queue_eth,exit_queue_count,exit_queue_eth,el_backlog_events,el_backlog_eth,entry_total_estimated
405852,12987286,0,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,0
405852,12987287,954916,33505824.000000000,0,0.000000000,42619,2204185.000000000,0,0.000000000,0
405852,12987288,954916,33505824.000000000,0,0.000000000,42619,2204185.000000000,0,0.000000000,0
405852,12987289,954916,33505824.000000000,0,0.000000000,42619,2204185.000000000,0,0.000000000,0
405852,12987290,954916,33505824.000000000,0,0.000000000,42619,2204185.000000000,0,0.000000000,0
405852,12987291,954916,33505824.000000000,0,0.000000000,42619,2204185.000000000,0,0.000000000,0
405852,12987292,954916,33505824.000000000,0,0.000000000,42619,2204185.000000000,0,0.000000000,0
405852,12987293,954916,33505824.000000000,0,0.000000000,42619,2204185.000000000,0,0.000000000,0
405852,12987294,954916,33505824.000000000,0,0.000000000,42619,2204185.000000000,0,0.000000000,0
405852,12987295,954916,33505824.000000000,0,0.000000000,42619,2204185.000000000,0,0.000000000,0
405853,12987296,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987297,0,0.000000000,36,1152.000000000,0,0.000000000,0,0.000000000,36
405853,12987298,0,0.000000000,36,1152.000000000,0,0.000000000,0,0.000000000,36
405853,12987299,0,0.000000000,36,1152.000000000,0,0.000000000,0,0.000000000,36
405853,12987300,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987301,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987302,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987303,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987304,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987305,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987306,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987307,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987308,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987309,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987310,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987311,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987312,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987313,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987314,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987315,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987316,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987317,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987318,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987319,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987320,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987321,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987322,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987323,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987324,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987325,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
405853,12987326,954924,33506082.000000000,36,1152.000000000,42619,2204186.000000000,0,0.000000000,36
